,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
186,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
187,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
188,,,,,,,,,,,Y,L,bio,N,,Y,U,,N,link,Y,C,bio,N,text
189,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
190,,,,,,,,,,,Y,U,,A,,Y,U,,U,,Y,U,bio,P,text
191,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
192,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
193,,,,,,,,,,,Y,C,bio,A,link,Y,C,bio,A,text,Y,C,bio,U,text
194,,,,,,,,,,,Y,N,bio,A,,Y,U,,N,text,Y,C,bio,A,text
195,,,,,,,,,,,Y,L,bio,P,@TPM,Y,L,bio,N,text,Y,L,bio,U,text
196,,,,,,,,,,,Y,U,,U,,Y,U,,A,text,Y,L,bio,P,text
197,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
198,,,,,,,,,,,Y,U,,N,,Y,U,,N,,Y,?,bio,,
199,,,,,,,,,,,Y,U,,A,link,Y,U,,A,link,Y,C,link,A,text
200,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,U,bio,A,text
201,,,,,,,,,,,Y,L,bio,U,,Y,L,bio,P,text,Y,L,bio,U,text
202,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
203,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
204,,,,,,,,,,,Y,U,,P,,Y,L,bio,P,text,Y,L,bio,P,text
205,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
206,,,,,,,,,,,Y,C,,A,,Y,C,bio,A,text,Y,C,bio,A,text
207,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
208,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
209,,,,,,,,,,,Y,U,,P,link,Y,U,,P,text,Y,L,link,P,text
210,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
211,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
212,,,,,,,,,,,Y,U,,A,,Y,U,,U,,Y,?,bio,,
213,,,,,,,,,,,Y,L,bio,A,,Y,L,bio,P,text,Y,L,bio,P,text
214,,,,,,,,,,,Y,U,,N,,Y,N,bio,N,text,Y,U,bio,U,text
215,,,,,,,,,,,Y,U,,A,,Y,N,bio,N,text,Y,C,text,A,text
216,,,,,,,,,,,Y,C,bio,,,Y,C,bio,A,text,Y,C,bio,A,text
217,,,,,,,,,,,Y,U,,A,,Y,C,bio,A,text,Y,C,bio,A,text
218,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,U,bio,P,text
219,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
220,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
221,,,,,,,,,,,Y,U,,A,,N,,,,,Y,L,bio,P,text
222,,,,,,,,,,,Y,C,bio,N,,Y,C,bio,A,text,Y,C,bio,A,text
223,,,,,,,,,,,Y,U,,N,,Y,N,bio,N,text,Y,N,bio,N,text
224,,,,,,,,,,,Y,U,,A,,Y,U,,A,text,Y,C,text,A,text
225,,,,,,,,,,,Y,C,,A,,Y,U,,A,text,Y,C,text,A,text
226,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,L,text,P,text
227,,,,,,,,,,,Y,U,,A,,Y,U,,U,,Y,C,text,A,text
228,,,,,,,,,,,Y,C,,A,,Y,U,,A,text,Y,U,bio,A,text
229,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,bio
230,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
231,,,,,,,,,,,Y,C,bio,U,,Y,C,bio,A,text,Y,C,bio,U,text
232,,,,,,,,,,,Y,U,,U,,N,,,,,N,,,,
233,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
234,,,,,,,,,,,Y,N,,P,,N,,,,,Y,U,bio,P,text
235,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
236,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
237,,,,,,,,,,,Y,U,,N,,Y,N,,A,text,Y,U,bio,U,text
238,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
239,,,,,,,,,,,Y,L,,U,,Y,U,,P,text,Y,L,bio,P,text
240,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
241,,,,,,,,,,,Y,L,,P,,Y,L,bio,P,text,Y,L,text,P,text
242,,,,,,,,,,,Y,L,bio,N,,Y,L,bio,P,text,Y,L,bio,P,bio
243,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,U,bio,U,text
244,,,,,,,,,,,Y,U,,P,,Y,U,,P,text,Y,U,bio,P,text
245,,,,,,,,,,,Y,U,,A,,Y,U,,A,text,Y,U,bio,A,text
246,,,,,,,,,,,Y,U,,A,,Y,U,,P,text,Y,U,bio,A,text
247,,,,,,,,,,,Y,N,bio,N,,N,,,,,N,,,,
248,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,U,text
249,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,U,bio,U,text
250,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
251,,,,,,,,,,,Y,U,,N,,Y,U,,A,text,Y,N,text,A,text
252,,,,,,,,,,,Y,U,,N,,N,,,,,N,,,,
253,,,,,,,,,,,Y,U,,A,,Y,U,,A,text,Y,C,text,A,text
254,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
255,,,,,,,,,,,Y,C,bio,U,,Y,C,bio,A,text,Y,C,bio,A,text
256,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
257,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
258,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
259,,,,,,,,,,,Y,U,,U,,Y,U,,U,,Y,U,bio,P,text
260,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
261,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
262,,,,,,,,,,,Y,U,,U,,N,,,,,N,,,,
263,,,,,,,,,,,Y,C,bio,N,,Y,C,bio,N,text,Y,C,bio,U,text
264,,,,,,,,,,,Y,U,,U,,N,,,,,N,,,,
265,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
266,,,,,,,,,,,Y,L,bio,P,,Y,L,bio,P,text,Y,L,bio,P,text
267,,,,,,,,,,,Y,N,,N,,Y,N,bio,N,text,Y,N,bio,N,text
268,,,,,,,,,,,Y,U,,A,,Y,C,bio,A,text,Y,U,bio,N,text
269,,,,,,,,,,,Y,C,bio,A,,Y,C,bio,A,text,Y,C,bio,A,text
270,,,,,,,,,,,Y,U,,N,,Y,U,,N,text,Y,L,text,N,text
271,,,,,,,,,,,Y,U,,A,,Y,U,,A,text,Y,U,bio,P,text
272,,,,,,,,,,,Y,N,bio,N,,Y,N,bio,N,text,Y,N,bio,N,text
273,,,,,,,,,,,Y,C,bio,U,,Y,C,bio,A,text,Y,C,bio,A,text
